Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage 9764  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9768  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9754  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9728  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9726  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9759  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 5665  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9764  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9809  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 5637  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9732  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 5635  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9762  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9733  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 5654  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5672  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9766  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 17977  Beacon etx 3852 
 Beacon Parent -> 30    Beacon Voltage 9792  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 22082  Beacon etx 3862 
 Beacon Parent -> 10    Beacon Voltage 18006  Beacon etx 3852 

@ CTP # No: 420 # Best 20 # BestVolt: 22082 # PathVolt: 16494 # BestEtx: 3862 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage 22132  Beacon etx 3862 
 Beacon Parent -> 30    Beacon Voltage 22149  Beacon etx 3862 
 Beacon Parent -> 10    Beacon Voltage 18021  Beacon etx 3852 
 Beacon Parent -> 30    Beacon Voltage 22132  Beacon etx 3862 
 Beacon Parent -> 10    Beacon Voltage 30343  Beacon etx 3882 
 Beacon Parent -> 10    Beacon Voltage 30393  Beacon etx 3882 
 Beacon Parent -> 30    Beacon Voltage -31008  Beacon etx 3892 
 Beacon Parent -> 10    Beacon Voltage 30402  Beacon etx 3882 
 Beacon Parent -> 10    Beacon Voltage 30408  Beacon etx 3882 
 Beacon Parent -> 30    Beacon Voltage -31018  Beacon etx 3892 
 Beacon Parent -> 10    Beacon Voltage 30395  Beacon etx 3882 
 Beacon Parent -> 30    Beacon Voltage -31004  Beacon etx 3892 
 Beacon Parent -> 30    Beacon Voltage -31031  Beacon etx 3892 
 Beacon Parent -> 30    Beacon Voltage -31011  Beacon etx 3892 
 Beacon Parent -> 10    Beacon Voltage 30381  Beacon etx 3882 
 Beacon Parent -> 30    Beacon Voltage -31027  Beacon etx 3892 

@ CTP # No: 440 # Best 20 # BestVolt: -31027 # PathVolt: 16494 # BestEtx: 3892 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage -18701  Beacon etx 3924 
 Beacon Parent -> 10    Beacon Voltage -22828  Beacon etx 3915 
 Beacon Parent -> 30    Beacon Voltage -18686  Beacon etx 3926 
 Beacon Parent -> 10    Beacon Voltage -22823  Beacon etx 3915 
 Beacon Parent -> 30    Beacon Voltage -18702  Beacon etx 3922 
 Beacon Parent -> 10    Beacon Voltage -22827  Beacon etx 3916 
 Beacon Parent -> 30    Beacon Voltage -18685  Beacon etx 3926 
 Beacon Parent -> 10    Beacon Voltage -10435  Beacon etx 3947 
 Beacon Parent -> 10    Beacon Voltage -10421  Beacon etx 3946 
 Beacon Parent -> 10    Beacon Voltage -10484  Beacon etx 3946 
 Beacon Parent -> 30    Beacon Voltage -6310  Beacon etx 3956 
 Beacon Parent -> 10    Beacon Voltage -10471  Beacon etx 3946 
 Beacon Parent -> 10    Beacon Voltage -10487  Beacon etx 3946 
 Beacon Parent -> 30    Beacon Voltage -6357  Beacon etx 3956 
 Beacon Parent -> 30    Beacon Voltage -6366  Beacon etx 3956 
 Beacon Parent -> 10    Beacon Voltage -10488  Beacon etx 3946 
 Beacon Parent -> 30    Beacon Voltage -6383  Beacon etx 3956 

@ CTP # No: 460 # Best 20 # BestVolt: -6383 # PathVolt: 16494 # BestEtx: 3956 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage -6363  Beacon etx 3956 
 Beacon Parent -> 10    Beacon Voltage 1872  Beacon etx 3976 
 Beacon Parent -> 10    Beacon Voltage 1874  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 5973  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 1870  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 6002  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 1916  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 6017  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 1900  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 6044  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 1875  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 5972  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 1909  Beacon etx 3976 
 Beacon Parent -> 30    Beacon Voltage 6047  Beacon etx 3986 
 Beacon Parent -> 10    Beacon Voltage 14330  Beacon etx 4006 
 Beacon Parent -> 30    Beacon Voltage 18436  Beacon etx 4016 
 Beacon Parent -> 10    Beacon Voltage 26695  Beacon etx 4036 
 Beacon Parent -> 30    Beacon Voltage 30796  Beacon etx 4046 
 Beacon Parent -> 10    Beacon Voltage -26460  Beacon etx 4066 
 Beacon Parent -> 30    Beacon Voltage -22326  Beacon etx 4076 
 Beacon Parent -> 10    Beacon Voltage -14089  Beacon etx 4096 
 Beacon Parent -> 30    Beacon Voltage -9985  Beacon etx 4106 
 Beacon Parent -> 10    Beacon Voltage -14084  Beacon etx 4096 
 Beacon Parent -> 30    Beacon Voltage -9960  Beacon etx 4106 
 Beacon Parent -> 30    Beacon Voltage 2415  Beacon etx 4136 
 Beacon Parent -> 30    Beacon Voltage 2439  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2422  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2455  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2431  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2452  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2426  Beacon etx 4140 
 Beacon Parent -> 30    Beacon Voltage 2429  Beacon etx 4212 

@ CTP # No: 480 # Best 20 # BestVolt: 2429 # PathVolt: 16494 # BestEtx: 4212 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage 2450  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2448  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2454  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2443  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2421  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2434  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2430  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2410  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2440  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2423  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2426  Beacon etx 4212 
 Beacon Parent -> 30    Beacon Voltage 2433  Beacon etx 4212 
